	optimized_method	score	incumbent
0	PCA_sklearn	0.4956995821326782	{'n_components': 2, 'svd_solver': 'randomized', 'n_oversamples': 7, 'power_iteration_normalizer': 'LU'}
1	Truncated_SVD	0.4956995821326782	{'n_components': 2, 'n_iter': 5, 'n_oversamples': 11, 'power_iteration_normalizer': 'LU'}
2	Incremental_PCA	0.49566393462199243	{'batch_size': 33, 'n_components': 2}
3	IndependentCA	0.5238377580742464	{'algorithm': 'deflation', 'fun': 'exp', 'n_components': 2, 'whiten_solver': 'svd'}
4	Sparse_PCA	0.4959558865743242	{'alpha': 0.1067602081577483, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.022386683345473876}
5	MiniBatch_SparsePCA	0.48093270293072543	{'alpha': 0.18224326370376068, 'batch_size': 2, 'method': 'cd', 'n_components': 2, 'ridge_alpha': 0.05035022322199937}
6	Factor_Analysis	0.47010985708166597	{'iterated_power': 5, 'n_components': 4, 'rotation': 'varimax', 'svd_method': 'randomized'}
7	t_SNE	0.23243069648742676	{'angle': 0.1118680096231401, 'early_exaggeration': 22.63680201023817, 'init': 'pca', 'learning_rate': 871.9470801018178, 'method': 'exact', 'n_components': 2, 'n_iter': 615, 'n_iter_without_progress': 295, 'perplexity': 38.27241361606866}
8	Iso_map	0.4117295083402637	{'eigen_solver': 'dense', 'n_components': 2, 'n_neighbors': 6, 'neighbors_algorithm': 'auto', 'path_method': 'FW'}
9	Local_Linear_Embedding	0.18702482768463924	{'eigen_solver': 'auto', 'method': 'modified', 'n_components': 2, 'n_neighbors': 7, 'neighbors_algorithm': 'kd_tree'}
10	Multidimensional_scaling	0.5035328747672754	{'dissimilarity': 'euclidean', 'n_components': 2, 'n_init': 2}
11	Spectral_Embedding	0.35650847492266635	{'affinity': 'nearest_neighbors', 'eigen_solver': 'lobpcg', 'n_components': 2}
12	U_MAP	0.4197174906730652	{'metric': 'braycurtis', 'min_dist': 0.13544706696593195, 'n_components': 3, 'n_neighbors': 5}
