	optimized_method	score	incumbent
0	PCA_sklearn	0.43912858558403123	{'n_components': 2, 'svd_solver': 'randomized', 'n_oversamples': 3, 'power_iteration_normalizer': 'LU'}
1	Truncated_SVD	0.43906942784170955	{'n_components': 2, 'n_iter': 5, 'n_oversamples': 11, 'power_iteration_normalizer': 'LU'}
2	Incremental_PCA	0.44472602446156073	{'batch_size': 92, 'n_components': 2}
3	IndependentCA	0.4204681853562573	{'algorithm': 'parallel', 'fun': 'exp', 'n_components': 2, 'whiten_solver': 'svd'}
4	Sparse_PCA	0.43805446097562073	{'alpha': 0.9966181587879072, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.05532042829686433}
5	MiniBatch_SparsePCA	0.42896563138977517	{'alpha': 0.9428409421257191, 'batch_size': 2, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.06172769004266011}
6	Factor_Analysis	0.4617808846524263	{'iterated_power': 2, 'n_components': 2, 'rotation': 'varimax', 'svd_method': 'lapack'}
7	t_SNE	0.2391844391822815	{'angle': 0.7997621418908238, 'early_exaggeration': 14.138102843426168, 'init': 'pca', 'learning_rate': 564.7475776063675, 'method': 'exact', 'n_components': 3, 'n_iter': 258, 'n_iter_without_progress': 202, 'perplexity': 6.039517538548153}
8	Iso_map	0.4308877253259795	{'eigen_solver': 'auto', 'n_components': 2, 'n_neighbors': 11, 'neighbors_algorithm': 'kd_tree', 'path_method': 'FW'}
9	Local_Linear_Embedding	0.11139466612621174	{'eigen_solver': 'auto', 'method': 'modified', 'n_components': 2, 'n_neighbors': 13, 'neighbors_algorithm': 'kd_tree'}
10	Multidimensional_scaling	0.5160198989731185	{'dissimilarity': 'euclidean', 'n_components': 2, 'n_init': 3}
11	Spectral_Embedding	0.22169284012036894	{'affinity': 'nearest_neighbors', 'eigen_solver': 'amg', 'n_components': 2}
12	U_MAP	0.4081500768661499	{'metric': 'braycurtis', 'min_dist': 0.6143590484932065, 'n_components': 2, 'n_neighbors': 25}
