	optimized_method	score	incumbent
0	PCA_sklearn	0.6486379332817087	{'n_components': 2, 'svd_solver': 'randomized', 'n_oversamples': 10, 'power_iteration_normalizer': 'auto'}
1	Truncated_SVD	0.6315829776484494	{'n_components': 2, 'n_iter': 5, 'n_oversamples': 3, 'power_iteration_normalizer': 'auto'}
2	Incremental_PCA	0.7279239796907584	{'batch_size': 325, 'n_components': 8}
3	IndependentCA	0.6500066272634935	{'algorithm': 'deflation', 'fun': 'cube', 'n_components': 2, 'whiten_solver': 'svd'}
4	Sparse_PCA	0.6576414758814471	{'alpha': 0.7349023767684202, 'method': 'cd', 'n_components': 2, 'ridge_alpha': 0.06468956798289197}
5	MiniBatch_SparsePCA	0.635135041025038	{'alpha': 0.17608831181404183, 'batch_size': 5, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.0720935512303323}
6	Factor_Analysis	0.6570978793604707	{'iterated_power': 4, 'n_components': 2, 'rotation': 'varimax', 'svd_method': 'lapack'}
7	t_SNE	0.4012727737426758	{'angle': 0.40060205128971693, 'early_exaggeration': 30.967104144758714, 'init': 'random', 'learning_rate': 223.02319640889678, 'method': 'barnes_hut', 'n_components': 2, 'n_iter': 854, 'n_iter_without_progress': 499, 'perplexity': 41.0774538034608}
8	Iso_map	0.5156751130416962	{'eigen_solver': 'auto', 'n_components': 2, 'n_neighbors': 7, 'neighbors_algorithm': 'auto', 'path_method': 'FW'}
9	Local_Linear_Embedding	0.7696153960571149	{'eigen_solver': 'auto', 'method': 'modified', 'n_components': 6, 'n_neighbors': 71, 'neighbors_algorithm': 'kd_tree'}
10	Multidimensional_scaling	0.6968118114097868	{'dissimilarity': 'euclidean', 'n_components': 2, 'n_init': 5}
11	Spectral_Embedding	0.5091074635934392	{'affinity': 'nearest_neighbors', 'eigen_solver': 'lobpcg', 'n_components': 8}
12	U_MAP	0.32677823305130005	{'metric': 'braycurtis', 'min_dist': 0.22503306947913432, 'n_components': 3, 'n_neighbors': 15}
