	optimized_method	score	incumbent
0	PCA_sklearn	0.21226016498277944	{'n_components': 2, 'svd_solver': 'randomized', 'n_oversamples': 4, 'power_iteration_normalizer': 'QR'}
1	Truncated_SVD	0.21226016741098974	{'n_components': 2, 'n_iter': 4, 'n_oversamples': 3, 'power_iteration_normalizer': 'LU'}
2	Incremental_PCA	0.21155903144675903	{'batch_size': 59, 'n_components': 2}
3	IndependentCA	0.48487438088517587	{'algorithm': 'parallel', 'fun': 'cube', 'n_components': 2, 'whiten_solver': 'svd'}
4	Sparse_PCA	0.2035123852291436	{'alpha': 0.995015208213021, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.05392189734974943}
5	MiniBatch_SparsePCA	0.20609760884919848	{'alpha': 0.8054896743081276, 'batch_size': 2, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.0789677360030881}
6	Factor_Analysis	0.3059407734461621	{'iterated_power': 3, 'n_components': 10, 'rotation': 'varimax', 'svd_method': 'randomized'}
7	t_SNE	0.009699761867523193	{'angle': 0.3469197424866878, 'early_exaggeration': 30.609504888986248, 'init': 'pca', 'learning_rate': 267.84994253898645, 'method': 'exact', 'n_components': 2, 'n_iter': 912, 'n_iter_without_progress': 497, 'perplexity': 42.016400612700494}
8	Iso_map	0.14052659865108297	{'eigen_solver': 'arpack', 'n_components': 2, 'n_neighbors': 15, 'neighbors_algorithm': 'ball_tree', 'path_method': 'FW'}
9	Local_Linear_Embedding	0.4339361418065638	{'eigen_solver': 'auto', 'method': 'modified', 'n_components': 2, 'n_neighbors': 12, 'neighbors_algorithm': 'ball_tree'}
10	Multidimensional_scaling	0.2810429666537998	{'dissimilarity': 'euclidean', 'n_components': 2, 'n_init': 3}
11	Spectral_Embedding	0.42298049957966466	{'affinity': 'nearest_neighbors', 'eigen_solver': 'amg', 'n_components': 2}
12	U_MAP	0.06804633140563965	{'metric': 'minkowski', 'min_dist': 0.09347813843558136, 'n_components': 3, 'n_neighbors': 69}
