	optimized_method	score	incumbent
0	PCA_sklearn	0.6229398220199731	{'n_components': 2, 'svd_solver': 'full'}
1	Truncated_SVD	0.6276639692110333	{'n_components': 2, 'n_iter': 3, 'n_oversamples': 7, 'power_iteration_normalizer': 'auto'}
2	Incremental_PCA	0.655786494240709	{'batch_size': 28, 'n_components': 2}
3	IndependentCA	0.6257052077730008	{'algorithm': 'parallel', 'fun': 'exp', 'n_components': 2, 'whiten_solver': 'eigh'}
4	Sparse_PCA	0.6184971198922171	{'alpha': 0.6721333310620056, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.02843536825089507}
5	MiniBatch_SparsePCA	0.6206979587168426	{'alpha': 0.7942804368027394, 'batch_size': 3, 'method': 'lars', 'n_components': 2, 'ridge_alpha': 0.04555692553568415}
6	Factor_Analysis	0.6560330841694926	{'iterated_power': 4, 'n_components': 3, 'rotation': 'quartimax', 'svd_method': 'randomized'}
7	t_SNE	0.33334970474243164	{'angle': 0.7735532994811044, 'early_exaggeration': 13.670110146977054, 'init': 'pca', 'learning_rate': 596.0679089464247, 'method': 'exact', 'n_components': 3, 'n_iter': 405, 'n_iter_without_progress': 309, 'perplexity': 8.030356685630977}
8	Iso_map	0.6665899603722023	{'eigen_solver': 'auto', 'n_components': 2, 'n_neighbors': 5, 'neighbors_algorithm': 'kd_tree', 'path_method': 'FW'}
9	Local_Linear_Embedding	0.03707106781186553	{'eigen_solver': 'dense', 'method': 'modified', 'n_components': 3, 'n_neighbors': 3, 'neighbors_algorithm': 'kd_tree'}
10	Multidimensional_scaling	0.639857679763058	{'dissimilarity': 'euclidean', 'n_components': 2, 'n_init': 3}
11	Spectral_Embedding	0.4673869850679817	{'affinity': 'nearest_neighbors', 'eigen_solver': 'amg', 'n_components': 2}
12	U_MAP	0.45360827445983887	{'metric': 'correlation', 'min_dist': 0.1713437177933631, 'n_components': 2, 'n_neighbors': 38}
