	optimized_method	score	incumbent
0	PCA_sklearn	0.6280936009623171	{'n_components': 2, 'svd_solver': 'randomized', 'n_oversamples': 9, 'power_iteration_normalizer': 'QR'}
1	Truncated_SVD	0.6280936009623175	{'n_components': 2, 'n_iter': 5, 'n_oversamples': 11, 'power_iteration_normalizer': 'LU'}
2	Incremental_PCA	0.6219440840412734	{'batch_size': 15, 'n_components': 2}
3	IndependentCA	0.6192230030149725	{'algorithm': 'parallel', 'fun': 'exp', 'n_components': 2, 'whiten_solver': 'eigh'}
4	Sparse_PCA	0.6239377263274053	{'alpha': 0.9038584553653729, 'method': 'cd', 'n_components': 2, 'ridge_alpha': 0.06894490184841442}
5	MiniBatch_SparsePCA	0.4456677198760245	{'alpha': 0.4083614181868376, 'batch_size': 2, 'method': 'cd', 'n_components': 2, 'ridge_alpha': 0.06208049023597204}
6	Factor_Analysis	0.42804473624252315	{'iterated_power': 3, 'n_components': 3, 'rotation': 'quartimax', 'svd_method': 'randomized'}
7	t_SNE	0.41041624546051025	{'angle': 0.1980463202262227, 'early_exaggeration': 22.63680201023817, 'init': 'pca', 'learning_rate': 930.3532088013193, 'method': 'barnes_hut', 'n_components': 2, 'n_iter': 769, 'n_iter_without_progress': 287, 'perplexity': 38.27241361606866}
8	Iso_map	0.3963047194243611	{'eigen_solver': 'dense', 'n_components': 2, 'n_neighbors': 11, 'neighbors_algorithm': 'kd_tree', 'path_method': 'D'}
9	Local_Linear_Embedding	0.004412796514715156	{'eigen_solver': 'dense', 'method': 'modified', 'n_components': 3, 'n_neighbors': 3, 'neighbors_algorithm': 'kd_tree'}
10	Multidimensional_scaling	0.675507473833626	{'dissimilarity': 'euclidean', 'n_components': 2, 'n_init': 2}
11	Spectral_Embedding	0.5983210884612127	{'affinity': 'nearest_neighbors', 'eigen_solver': 'amg', 'n_components': 2}
12	U_MAP	0.4615774154663086	{'metric': 'braycurtis', 'min_dist': 0.6047150488887524, 'n_components': 2, 'n_neighbors': 21}
